,s_on_k,maturity,sigma,mu,nmc,nx,nt,a,b,n,analytic value,montecarlo,montecarlo is,montecarlo antithetic,euler explicite,euler implicite,crank nicolson,ft_gilp
12,1.125,6.6875,0.303125,0.0315625,81268.75,30.9375,81268.75,0.0026875,54.0625,8312.5,0.46962827027419346,0.47385762115198193,0.49403759407971687,0.4778861829543936,0.47221193364151903,0.4722111286950206,0.4722115286910804,0.4748177505819589
13,1.14375,7.015625,0.31484375,0.033671875000000004,85951.5625,26.953125,85951.5625,0.002265625,54.296875,8734.375,0.5096171788370394,0.5196645810592478,0.5487586761620351,0.5166661948162221,0.5138220700817646,0.5138211319295172,0.51382159762074,0.5160777464745322
14,1.1859375,7.75390625,0.3412109375,0.03841796875,96487.890625,17.98828125,96487.890625,0.0013164062499999999,54.82421875,9683.59375,0.6006855335940067,0.6164858847363887,0.6520475551610333,0.613605851815768,0.554103109695718,0.5541018756739206,0.5541024872819437,0.6104080560391199
15,1.189453125,7.8154296875,0.343408203125,0.038813476562500004,97365.91796875,17.2412109375,97365.91796875,0.0012373046875,54.8681640625,9762.6953125,0.6083173342847608,0.6198924485221036,0.6617254878958017,0.6139730187312042,0.7189392648522114,0.7189375186465282,0.7189383839729566,0.6183359521008406
16,1.1,6.25,0.2875,0.02875,75025.0,36.25,75025.0,0.0032499999999999994,53.75,7750.0,0.41702322347667603,0.4195491747166832,0.44104902877086494,0.42214620875106695,0.4200361869866939,0.4200354979937576,0.420035840933908,0.420693200129013
17,1.125,6.6875,0.303125,0.0315625,81268.75,30.9375,81268.75,0.0026875,54.0625,8312.5,0.46962827027419346,0.47630356744574087,0.502020179928726,0.4771295553784708,0.47221193364151903,0.4722111286950206,0.4722115286910804,0.4748177505819589
18,1.18125,7.671875,0.33828125,0.037890625,95317.1875,18.984375,95317.1875,0.001421875,54.765625,9578.125,0.5905166285700163,0.6045580628269682,0.6369098157754349,0.6042021458290119,0.6133119545209095,0.6133105709640145,0.6133112567702169,0.5998500535785218
19,1.1859374999999999,7.75390625,0.3412109375,0.038417968749999996,96487.890625,17.98828125,96487.890625,0.0013164062499999999,54.82421875,9683.59375,0.6006855335940064,0.6108295366233554,0.6481481126076521,0.6137624772717535,0.5541031096957173,0.5541018756739207,0.5541024872819438,0.6104080560391196
20,1.1964843749999998,7.9384765625,0.347802734375,0.0396044921875,99121.97265625,15.7470703125,99121.97265625,0.0010791015625,54.9560546875,9920.8984375,0.6235915476158238,0.6343235509788364,0.675943771033412,0.6359677840951378,0.578041807834432,0.5780404257648065,0.5780411106028291,0.6342131249889803
21,1.0,4.5,0.22499999999999998,0.017499999999999998,50050.0,57.5,50050.0,0.0055,52.5,5500.0,0.22030104628357838,0.22131608546711345,0.22442906462389495,0.2221530007782593,0.22656787580820584,0.22656717666010792,0.22656752614876635,0.2198143137579887
22,1.1,6.25,0.2875,0.028749999999999998,75025.0,36.25,75025.0,0.00325,53.75,7750.0,0.41702322347667603,0.42513879141774297,0.44294409196712115,0.4225255121567769,0.4200361869866939,0.4200354979937576,0.420035840933908,0.420693200129013
23,1.15,7.125,0.31875,0.034375,87512.5,25.625,87512.5,0.002125,54.375,8875.0,0.5230275448600339,0.5293150352518398,0.553858295712806,0.53029421846006,0.5790408084433579,0.5790396996151093,0.5790402497711648,0.5299366593405211
24,1.1749999999999998,7.5625,0.334375,0.0371875,93756.25,20.3125,93756.25,0.0015625,54.6875,9437.5,0.5769725062242164,0.5893608749853122,0.6151251044889932,0.5896784156902544,0.5905741373329472,0.5905728692528563,0.5905734979096454,0.5857971920436256
25,1.1875,7.78125,0.3421875,0.038593749999999996,96878.125,17.65625,96878.125,0.00128125,54.84375,9718.75,0.6040769465240805,0.6236053656924464,0.6558397761623366,0.6154202860721922,0.5566780150700743,0.556676768340755,0.5566773862074226,0.6139306075802786
26,1.2,8.0,0.35,0.04,100000.0,15.0,100000.0,0.001,55.0,10000.0,0.6312327973180156,0.6423962129114248,0.6856493818250783,0.6458629356331053,0.5838111696523705,0.583809756595637,0.5838104566889448,0.6421612787929996
