,error_mc,ctime_mc,error_mc_is,ctime_mc_is,error_mc_antithetic,ctime_mc_antithetic,error_eexp,ctime_eulerexp,error_eimp,ctime_eulerimp,error_cn,ctime_cn,error fourier gp,ctime fourier gp
12,0.004229350877788474,0.005185127258300781,0.02440932380552341,0.006008148193359375,0.008257912680200152,0.006870746612548828,0.0025836633673255727,0.6687390804290771,0.0025828584208271166,6.825685977935791,0.0025832584168869466,8.04961109161377,0.005189480307765448,0.09468197822570801
13,0.010047402222208457,0.005503177642822266,0.03914149732499572,0.006315946578979492,0.007049015979182727,0.007156848907470703,0.0042048912447252285,0.694511890411377,0.004203953092477786,6.50705099105835,0.004204418783700592,7.844918966293335,0.006460567637492809,0.09994697570800781
14,0.015800351142381985,0.00638580322265625,0.05136202156702663,0.007069826126098633,0.012920318221761318,0.00847005844116211,0.046582423898288705,0.79239821434021,0.04658365792008612,5.622719049453735,0.046583046312063,7.069228887557983,0.00972252244511318,0.11341094970703125
15,0.01157511423734281,0.006288766860961914,0.0534081536110409,0.007287025451660156,0.0056556844464434874,0.008260965347290039,0.11062193056745062,0.9761781692504883,0.11062018436176746,5.6975531578063965,0.11062104968819586,7.174017667770386,0.010018617816079822,0.11806011199951172
16,0.0025259512400071515,0.004695892333984375,0.024025805294188907,0.005651950836181641,0.005122985274390923,0.006792783737182617,0.0030129635100178964,0.652554988861084,0.0030122745170815812,7.561498165130615,0.0030126174572319697,8.846044063568115,0.0036699766523369814,0.08775115013122559
17,0.006675297171547412,0.005125761032104492,0.03239190965453259,0.006391763687133789,0.007501285104277333,0.006964921951293945,0.0025836633673255727,0.6762690544128418,0.0025828584208271166,6.724068880081177,0.0025832584168869466,8.025213241577148,0.005189480307765448,0.09447288513183594
18,0.014041434256951923,0.006103992462158203,0.04639318720541863,0.006972074508666992,0.013685517258995583,0.008088111877441406,0.022795325950893175,0.769726037979126,0.022793942393998234,5.236376762390137,0.022794628200200617,6.699035167694092,0.009333425008505536,0.10913991928100586
19,0.010144003029348925,0.006202220916748047,0.0474625790136457,0.007688045501708984,0.013076943677747033,0.00820779800415039,0.04658242389828915,0.8200249671936035,0.046583657920085786,5.6294169425964355,0.04658304631206267,7.320861101150513,0.00972252244511318,0.11018586158752441
20,0.01073200336301261,0.006913900375366211,0.05235222341758816,0.008431196212768555,0.012376236479313962,0.008903026580810547,0.04554973978139176,0.8314058780670166,0.045551121851017284,5.086914777755737,0.04555043701299466,6.658586025238037,0.010621577373156499,0.11326384544372559
21,0.0010150391835350714,0.0032269954681396484,0.004128018340316564,0.003749847412109375,0.001851954494680924,0.004459857940673828,0.006266829524627454,0.4478800296783447,0.006266130376529538,8.871103048324585,0.006266479865187968,9.987221956253052,0.0004867325255896726,0.06368780136108398
22,0.008115567941066937,0.004664897918701172,0.025920868490445115,0.005497932434082031,0.005502288680100886,0.00649714469909668,0.0030129635100178964,0.6403908729553223,0.0030122745170815812,7.708154201507568,0.0030126174572319697,8.900562047958374,0.0036699766523369814,0.08702802658081055
23,0.006287490391805872,0.005434989929199219,0.030830750852772093,0.006822347640991211,0.007266673600026086,0.008143901824951172,0.056013263583324036,0.7179718017578125,0.05601215475507537,7.261510848999023,0.05601270491113086,8.213243007659912,0.006909114480487255,0.09958815574645996
24,0.012388368761095836,0.006095170974731445,0.038152598264776794,0.0072269439697265625,0.012705909466038001,0.008267641067504883,0.013601631108730805,0.7758867740631104,0.013600363028639983,6.436416149139404,0.013600991685429054,7.873163938522339,0.008824685819409206,0.10808682441711426
25,0.019528419168365896,0.006245851516723633,0.05176282963825607,0.007536888122558594,0.01134333954811173,0.008701324462890625,0.0473989314540062,0.7962479591369629,0.047400178183325536,5.615908861160278,0.04739956031665793,7.093871831893921,0.009853661056198115,0.12161803245544434
26,0.011163415593409165,0.008665800094604492,0.05441658450706266,0.009730815887451172,0.014630138315089636,0.009966135025024414,0.04742162766564517,0.8087520599365234,0.04742304072237857,5.150650978088379,0.0474223406290708,6.71940016746521,0.010928481474983931,0.1156301498413086
